"id","manuscriptId","fromPlaceId","toPlaceId","start","end","certainty","description"
"move-ms-hre-i-b1","ms-hre-i-b1","place-mainz-context","repo-montecassino","11th century","11th century","derived","Research movement/context line for B1: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Montecassino, MS 451."
"move-ms-hre-i-b2","ms-hre-i-b2","place-mainz-context","repo-rome-vallicelliana","11th century","11th century","derived","Research movement/context line for B2: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Rome, Biblioteca Vallicelliana."
"move-ms-hre-i-b3","ms-hre-i-b3","place-mainz-context","repo-venice-marciana","11th century","11th century","derived","Research movement/context line for B3: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Venice, Biblioteca Marciana."
"move-ms-hre-i-b4","ms-hre-i-b4","place-mainz-context","repo-paris-bnf","11th century","11th century","derived","Research movement/context line for B4: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Paris, BnF."
"move-ms-hre-i-c1","ms-hre-i-c1","place-mainz-context","repo-bamberg-staatsbibliothek","12th century","12th century","derived","Research movement/context line for C1: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Bamberg, Staatsbibliothek."
"move-ms-hre-i-c2","ms-hre-i-c2","place-mainz-context","repo-bamberg-staatsbibliothek","12th century","12th century","derived","Research movement/context line for C2: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Bamberg, Staatsbibliothek."
"move-ms-hre-i-c3","ms-hre-i-c3","place-mainz-context","repo-london-british-library","11th century","11th century","derived","Research movement/context line for C3: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> London, British Library."
"move-ms-hre-i-c4","ms-hre-i-c4","place-mainz-context","repo-wolfenbuettel-hab","12th century","12th century","derived","Research movement/context line for C4: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Wolfenbüttel, HAB."
"move-ms-hre-i-d1","ms-hre-i-d1","place-mainz-context","repo-berlin-staatsbibliothek","12th/13th century","12th/13th century","derived","Research movement/context line for D1: Chartulary from Aachen -> Berlin, Staatsbibliothek."
"move-ms-hre-i-d2","ms-hre-i-d2","place-mainz-context","repo-london-british-library","12th/13th century","12th/13th century","derived","Research movement/context line for D2: Chartulary from Aachen -> London, British Library."
"move-ms-hre-i-nv1","ms-hre-i-nv1","place-mainz-context","repo-dresden-slub","13th century","13th century","derived","Research movement/context line for NV1: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Dresden, SLUB."
"move-ms-hre-i-nv2","ms-hre-i-nv2","place-mainz-context","repo-engelberg-abbey","12th/13th century","12th/13th century","derived","Research movement/context line for NV2: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Engelberg, Abbey Library."
"move-ms-hre-i-nv3","ms-hre-i-nv3","place-mainz-context","repo-paris-bnf","11th century","11th century","derived","Research movement/context line for NV3: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Paris, BnF."
"move-ms-hre-i-nv4","ms-hre-i-nv4","place-mainz-context","repo-vitry-bm","11th century","11th century","derived","Research movement/context line for NV4: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Vitry-le-François, BM."
"move-ms-hre-i-nv5","ms-hre-i-nv5","place-mainz-context","repo-vatican-bav","13th century","13th century","derived","Research movement/context line for NV5: Roman/Ottonian pontifical tradition; Mainz? is the textual-context anchor used by Elze. -> Vatican City, BAV."
